wavelength_nm,energy_ev,eps1_perp,eps2_perp,eps1_para,eps2_para,redchi,nfev,success
570,2.1751614,15.699552,6.4635192,16.017753,6.2886461,3.3815021e-05,10,False
571,2.171352,15.685368,6.4253531,16.005175,6.2417151,3.7023974e-05,10,False
572,2.1675559,15.672822,6.3834613,15.985679,6.2061783,3.405439e-05,10,False
573,2.1637731,15.662751,6.3463884,15.961957,6.1714822,3.325435e-05,10,False
574,2.1600035,15.653636,6.3124311,15.945534,6.1228207,3.4275808e-05,10,False
575,2.1562469,15.634462,6.2784365,15.935913,6.0826456,3.4971225e-05,10,False
576,2.1525034,15.621133,6.2433944,15.918794,6.0542267,3.2110072e-05,10,False
577,2.1487729,15.612144,6.2078299,15.900211,6.0190263,3.1536122e-05,10,False
578,2.1450553,15.600671,6.1724667,15.884436,5.9867798,2.9156272e-05,10,False
579,2.1413506,15.585923,6.1447853,15.869543,5.9460028,3.0941101e-05,10,False
580,2.1376586,15.574039,6.1080333,15.852252,5.9127301,3.5418883e-05,10,False
581,2.1339793,15.565518,6.07231,15.834685,5.8801159,3.1064599e-05,10,False
582,2.1303127,15.556042,6.0432836,15.819754,5.8478376,3.2399474e-05,10,False
583,2.1266586,15.546294,6.0128398,15.804405,5.8191496,3.016045e-05,10,False
584,2.1230171,15.532333,5.9835039,15.788192,5.7841381,3.3807125e-05,10,False
585,2.119388,15.525333,5.9523903,15.770195,5.7514158,3.3910972e-05,10,False
586,2.1157713,15.514491,5.924867,15.761184,5.7242016,3.2125187e-05,10,False
587,2.1121669,15.502577,5.8951457,15.749854,5.6954252,3.0902741e-05,10,False
588,2.1085748,15.494298,5.8636083,15.730823,5.6611423,2.9841344e-05,10,False
589,2.1049949,15.48698,5.8364342,15.71889,5.6309834,2.8588857e-05,10,False
590,2.1014271,15.474023,5.8095516,15.711623,5.6023446,3.244045e-05,10,False
591,2.0978714,15.464686,5.7796884,15.695618,5.5762645,3.1181885e-05,10,False
592,2.0943277,15.457731,5.7446596,15.680237,5.54702,2.7923855e-05,10,False
593,2.0907959,15.447095,5.7134775,15.674013,5.5141015,2.8362923e-05,10,False
594,2.0872761,15.438167,5.690278,15.667634,5.482787,3.1726756e-05,10,False
595,2.083768,15.431029,5.6599243,15.660727,5.4494311,3.0493454e-05,10,False
596,2.0802718,15.423786,5.6316118,15.648143,5.4225752,2.9496216e-05,10,False
597,2.0767872,15.419134,5.5997129,15.633145,5.3947331,2.945624e-05,10,False
598,2.0733144,15.411052,5.566205,15.620559,5.3619738,3.1126761e-05,10,False
599,2.0698531,15.40039,5.5404586,15.61371,5.3325418,3.1086102e-05,10,False
600,2.0664033,15.394502,5.5080337,15.600528,5.3016659,2.8796282e-05,10,False
601,2.062965,15.385223,5.4756426,15.589045,5.273811,2.946742e-05,10,False
602,2.0595382,15.377615,5.4451765,15.575811,5.245267,3.1543326e-05,10,False
603,2.0561227,15.367089,5.4157197,15.567373,5.2064509,3.037804e-05,10,False
604,2.0527185,15.359094,5.3868062,15.553043,5.173712,2.7555329e-05,10,False
605,2.0493256,15.349414,5.3537038,15.540306,5.1465896,3.0728083e-05,10,False
606,2.0459439,15.342449,5.319804,15.532765,5.1197418,3.0402917e-05,10,False
607,2.0425733,15.333213,5.2921817,15.525456,5.0860033,2.697056e-05,10,False
608,2.0392138,15.320008,5.2672485,15.510844,5.0494907,2.7332985e-05,10,False
609,2.0358653,15.312712,5.2347925,15.495533,5.0189314,2.8560564e-05,10,False
610,2.0325278,15.304142,5.2001,15.48266,4.9873692,2.7882157e-05,10,False
611,2.0292013,15.285894,5.1710956,15.468089,4.9622258,2.8060918e-05,10,False
612,2.0258856,15.274471,5.1412933,15.450276,4.9314185,2.8921812e-05,10,False
613,2.0225807,15.267923,5.1099112,15.434243,4.8990397,3.0173498e-05,10,False
614,2.0192866,15.250269,5.0765783,15.41932,4.875673,3.0020586e-05,10,False
615,2.0160032,15.238548,5.0506141,15.401451,4.8480038,2.8964633e-05,10,False
616,2.0127305,15.228316,5.0236016,15.382329,4.8187133,2.8660147e-05,10,False
617,2.0094684,15.209769,4.996875,15.367427,4.7820453,3.0529766e-05,10,False
618,2.0062168,15.19343,4.9713682,15.354843,4.7489192,2.6109252e-05,10,False
619,2.0029757,15.176896,4.9442889,15.336783,4.7222236,2.5396529e-05,10,False
620,1.9997451,15.167021,4.9154604,15.31552,4.6966475,2.8158808e-05,10,False
621,1.9965249,15.14966,4.8866648,15.301543,4.6719533,3.1075383e-05,10,False
622,1.9933151,15.129385,4.8606905,15.284658,4.6481631,3.0307598e-05,10,False
623,1.9901155,15.115716,4.8395301,15.263336,4.6196054,2.6431356e-05,10,False
624,1.9869263,15.10104,4.814572,15.239851,4.5945804,2.7287974e-05,10,False
625,1.9837472,15.084176,4.787565,15.21959,4.5755251,2.960919e-05,10,False
626,1.9805782,15.064099,4.7656344,15.204291,4.5488377,2.8206723e-05,10,False
627,1.9774194,15.051929,4.740463,15.181565,4.5302326,2.5689758e-05,10,False
628,1.9742707,15.03478,4.7181167,15.159725,4.5133388,3.0255845e-05,10,False
629,1.9711319,15.013902,4.7004314,15.143873,4.4897066,3.0377952e-05,10,False
630,1.9680031,14.999542,4.6803199,15.12332,4.468658,2.839475e-05,10,False
631,1.9648843,14.984,4.65602,15.096431,4.4547777,2.8969968e-05,10,False
632,1.9617753,14.969138,4.6382551,15.070806,4.4377215,2.4712715e-05,10,False
633,1.9586761,14.951548,4.619843,15.057769,4.420729,2.7969588e-05,10,False
634,1.9555867,14.935326,4.6046815,15.043176,4.4061775,3.0633527e-05,10,False
635,1.9525071,14.916307,4.5880267,15.024689,4.389008,2.9869117e-05,10,False
636,1.9494371,14.899518,4.5747459,15.012019,4.3698577,2.851314e-05,10,False
637,1.9463767,14.886534,4.5594363,14.991415,4.3517542,2.6434873e-05,10,False
638,1.943326,14.871706,4.5423226,14.969674,4.3430801,2.8101591e-05,10,False
639,1.9402848,14.857766,4.5259341,14.95153,4.331922,2.6732487e-05,10,False
640,1.9372531,14.842767,4.5113872,14.929786,4.3213017,2.6081309e-05,10,False
641,1.9342309,14.828338,4.4994411,14.91421,4.3103015,2.7805938e-05,10,False
642,1.931218,14.811284,4.490249,14.907564,4.291544,2.8340786e-05,10,False
643,1.9282146,14.799956,4.4748926,14.893666,4.2856465,2.5025934e-05,10,False
644,1.9252205,14.788787,4.4632892,14.876569,4.2694707,2.6826742e-05,10,False
645,1.9222356,14.775896,4.4518091,14.863729,4.2627609,2.724228e-05,10,False
646,1.91926,14.763069,4.4429171,14.854492,4.2521822,2.8648731e-05,10,False
647,1.9162936,14.755048,4.4354274,14.845198,4.2347201,2.7754823e-05,10,False
648,1.9133364,14.744343,4.4230317,14.835316,4.2275794,2.8809948e-05,10,False
649,1.9103883,14.733185,4.4125176,14.822086,4.2206551,2.620782e-05,10,False
650,1.9074492,14.723991,4.3979897,14.810054,4.2128973,2.5682375e-05,10,False
651,1.9045192,14.717402,4.3878473,14.805329,4.203326,2.9870593e-05,10,False
652,1.9015981,14.710458,4.3795349,14.795051,4.1944723,2.7823595e-05,10,False
653,1.898686,14.70265,4.3700924,14.783664,4.1814896,2.758659e-05,10,False
654,1.8957829,14.694212,4.3584836,14.774267,4.1759736,2.7030494e-05,10,False
655,1.8928885,14.682639,4.3442846,14.771426,4.1465273,2.7950078e-05,10,False
656,1.890003,14.687709,4.3362379,14.773815,4.139314,2.3059912e-05,10,False
657,1.8871263,14.687503,4.3277434,14.765489,4.141958,2.471576e-05,10,False
658,1.8842583,14.675247,4.3118233,14.750251,4.138995,3.0136751e-05,10,False
659,1.8813991,14.669638,4.3004348,14.74236,4.1280944,3.0764515e-05,10,False
660,1.8785485,14.66489,4.2916455,14.738575,4.1146569,2.7934401e-05,10,False
661,1.8757065,14.659411,4.2811249,14.738741,4.0992489,2.4117311e-05,10,False
662,1.8728731,14.658437,4.2676731,14.731446,4.0932922,2.6893169e-05,10,False
663,1.8700482,14.654899,4.2557421,14.731867,4.0814498,2.7148914e-05,10,False
664,1.8672319,14.651983,4.2474804,14.726934,4.0656261,3.1011882e-05,10,False
665,1.864424,14.651131,4.2335698,14.720565,4.0515201,2.9000776e-05,10,False
666,1.8616246,14.647915,4.2181529,14.721594,4.0379201,2.9316991e-05,10,False
667,1.8588336,14.643305,4.2060721,14.724233,4.0277902,2.8511056e-05,10,False
668,1.8560509,14.643018,4.1936621,14.709788,4.0131473,2.609399e-05,10,False
669,1.8532765,14.642507,4.1760667,14.710151,4.0040885,2.5407164e-05,10,False
670,1.8505104,14.639626,4.1622829,14.711309,3.9861277,2.9644019e-05,10,False
671,1.8477526,14.637574,4.147874,14.711732,3.9678193,3.2065001e-05,10,False
672,1.845003,14.637397,4.1348975,14.708693,3.9517125,2.8701678e-05,10,False
673,1.8422615,14.635378,4.1189973,14.703187,3.9404291,2.6773019e-05,10,False
674,1.8395282,14.634723,4.1017085,14.702852,3.9267822,2.5533002e-05,10,False
675,1.8368029,14.631329,4.0889094,14.699014,3.9051334,2.8796123e-05,10,False
676,1.8340858,14.626795,4.0741712,14.695291,3.8837151,3.1492696e-05,10,False
677,1.8313766,14.626187,4.0562536,14.6946,3.8697595,2.9421595e-05,10,False
678,1.8286755,14.62886,4.0344095,14.682405,3.8613637,2.8827456e-05,10,False
679,1.8259823,14.623693,4.0182937,14.67931,3.835761,2.9169262e-05,10,False
680,1.823297,14.619626,4.0043595,14.678722,3.8166269,2.7980653e-05,10,False
681,1.8206197,14.617248,3.9862055,14.675645,3.8080174,2.8306887e-05,10,False
682,1.8179501,14.614116,3.9680144,14.671596,3.7882851,3.0095459e-05,10,False
683,1.8152884,14.609534,3.9506516,14.665744,3.7701389,3.0427541e-05,10,False
684,1.8126345,14.60949,3.9337109,14.661612,3.7504111,3.359832e-05,10,False
685,1.8099883,14.609607,3.9144297,14.652812,3.726973,3.0933332e-05,10,False
686,1.8073498,14.602606,3.8979454,14.647165,3.7110859,2.8963827e-05,10,False
687,1.804719,14.597323,3.877786,14.643204,3.693958,3.1896067e-05,10,False
688,1.8020959,14.592976,3.8600852,14.643601,3.673685,2.7696695e-05,10,False
689,1.7994804,14.585706,3.8402051,14.636696,3.6605792,2.7217834e-05,10,False
