wavelength_nm,energy_ev,eps1_perp,eps2_perp,eps1_para,eps2_para,redchi,nfev,success
930,1.3331634,12.751074,1.9465964,12.714281,1.9264596,6.552066e-05,10,False
931,1.3317315,12.749268,1.962476,12.712254,1.9437352,6.3592846e-05,10,False
932,1.3303026,12.746648,1.9722227,12.713954,1.962508,5.8051354e-05,10,False
933,1.3288767,12.744195,1.9885684,12.708931,1.9749897,6.4465326e-05,10,False
934,1.3274539,12.742786,2.0024102,12.704177,1.9897705,6.2252833e-05,10,False
935,1.3260342,12.742067,2.0131199,12.70309,2.0050067,7.0456382e-05,10,False
936,1.3246175,12.740657,2.0326548,12.709539,2.0079046,7.3986997e-05,10,False
937,1.3232038,12.738781,2.0453774,12.709832,2.0207008,7.7103261e-05,10,False
938,1.3217932,12.740208,2.0574297,12.709352,2.0347859,6.7628878e-05,10,False
939,1.3203855,12.741866,2.0714125,12.718724,2.0422086,6.5554802e-05,10,False
940,1.3189808,12.741147,2.085557,12.716148,2.0608121,6.6358149e-05,10,False
941,1.3175792,12.746903,2.0949074,12.717735,2.0748488,6.3557866e-05,10,False
942,1.3161805,12.748353,2.1063525,12.726052,2.0862973,6.8613386e-05,10,False
943,1.3147847,12.753116,2.1173145,12.731123,2.090933,7.2373793e-05,10,False
944,1.3133919,12.756121,2.1291234,12.738117,2.1052272,6.5517817e-05,10,False
945,1.3120021,12.759129,2.1396785,12.738378,2.1176865,7.0198005e-05,10,False
946,1.3106152,12.766245,2.1500837,12.743446,2.1282779,7.386593e-05,10,False
947,1.3092312,12.767598,2.1650883,12.756677,2.1320579,6.8460116e-05,10,False
948,1.3078502,12.777327,2.1720127,12.761285,2.1442622,6.5017907e-05,10,False
949,1.3064721,12.782489,2.1793885,12.768378,2.1538872,7.5408918e-05,10,False
950,1.3050968,12.786514,2.1873345,12.779529,2.1563616,7.6801725e-05,10,False
951,1.3037245,12.795908,2.1999151,12.781133,2.162312,7.2192916e-05,10,False
952,1.302355,12.803119,2.2042762,12.791174,2.1789187,7.7386741e-05,10,False
953,1.3009884,12.811671,2.2144685,12.797715,2.183421,8.0388971e-05,10,False
954,1.2996247,12.817895,2.2186732,12.805962,2.1920196,6.9901682e-05,10,False
955,1.2982639,12.827211,2.2224058,12.817677,2.1981781,5.5471311e-05,10,False
956,1.2969058,12.83609,2.2297301,12.828266,2.205784,6.3384529e-05,10,False
957,1.2955507,12.844117,2.2369349,12.835837,2.2085839,7.471395e-05,10,False
958,1.2941983,12.850039,2.2423924,12.850244,2.213531,7.901976e-05,10,False
959,1.2928488,12.860233,2.2484784,12.857455,2.2092146,7.9153645e-05,10,False
960,1.2915021,12.865965,2.2515792,12.863112,2.217966,6.6825414e-05,10,False
961,1.2901582,12.876641,2.2537882,12.876634,2.2222079,6.0155062e-05,10,False
962,1.288817,12.888713,2.2559137,12.881949,2.2291506,6.2118571e-05,10,False
963,1.2874787,12.895351,2.2566477,12.894606,2.2349586,6.2056274e-05,10,False
964,1.2861431,12.89926,2.2652311,12.909721,2.2330486,6.051496e-05,10,False
965,1.2848103,12.914654,2.2654835,12.917322,2.2363031,7.5898629e-05,10,False
966,1.2834803,12.925597,2.266165,12.92611,2.238078,6.946671e-05,10,False
967,1.282153,12.930947,2.268804,12.940165,2.2367632,5.9371009e-05,10,False
968,1.2808285,12.944987,2.2661173,12.950899,2.234495,7.1452484e-05,10,False
969,1.2795067,12.953929,2.268463,12.959751,2.2412954,7.365398e-05,10,False
970,1.2781876,12.960544,2.2693475,12.978459,2.2396841,7.9284212e-05,10,False
971,1.2768713,12.970983,2.262787,12.988968,2.2365117,6.5812124e-05,10,False
972,1.2755576,12.984381,2.2597028,13.00857,2.227063,5.2955818e-05,10,False
973,1.2742466,12.995745,2.2585559,13.016956,2.2131018,6.2441174e-05,10,False
974,1.2729384,13.009601,2.2499378,13.02765,2.2183763,7.8218077e-05,10,False
975,1.2716328,13.011003,2.2543761,13.040257,2.2049083,6.8795735e-05,10,False
976,1.2703299,13.018483,2.2580222,13.044678,2.1975616,8.2854254e-05,10,False
977,1.2690297,13.032786,2.2558303,13.060276,2.1945837,9.3211541e-05,10,False
978,1.2677321,13.042689,2.2481505,13.066199,2.1980856,7.7864941e-05,10,False
979,1.2664372,13.050345,2.2399501,13.075123,2.1998435,5.735753e-05,10,False
980,1.2651449,13.056055,2.2456385,13.083177,2.2021887,6.7515842e-05,10,False
981,1.2638552,13.066332,2.2421349,13.091962,2.2067621,6.930841e-05,10,False
982,1.2625682,13.074184,2.2403079,13.1032,2.1990574,6.9790915e-05,10,False
983,1.2612838,13.079857,2.2398235,13.112424,2.2001313,8.6046849e-05,10,False
984,1.260002,13.08995,2.2354732,13.121315,2.1964715,8.8453873e-05,10,False
985,1.2587228,13.099918,2.2302567,13.128228,2.1839842,8.9145988e-05,10,False
986,1.2574462,13.104521,2.2243028,13.137785,2.1839831,7.9299396e-05,10,False
987,1.2561722,13.113387,2.2228581,13.14585,2.1750728,8.7263063e-05,10,False
988,1.2549008,13.121198,2.2150668,13.160776,2.1773499,8.0855264e-05,10,False
989,1.2536319,13.128404,2.2065277,13.170771,2.1660507,7.1202544e-05,10,False
990,1.2523656,13.131876,2.2025392,13.175232,2.156185,8.0970644e-05,10,False
991,1.2511019,13.141206,2.1963088,13.177383,2.1490887,7.9651235e-05,10,False
992,1.2498407,13.151427,2.1977932,13.191618,2.1407304,8.2806629e-05,10,False
993,1.2485821,13.158348,2.1878482,13.200563,2.1292122,8.5351952e-05,10,False
994,1.2473259,13.161465,2.1752395,13.206751,2.1306062,6.6168929e-05,10,False
995,1.2460723,13.170692,2.1738084,13.214315,2.1152515,8.060142e-05,10,False
996,1.2448213,13.171828,2.164267,13.231111,2.1110527,7.4104833e-05,10,False
997,1.2435727,13.179254,2.1527503,13.23628,2.1128768,7.3512101e-05,10,False
998,1.2423266,13.185698,2.1492949,13.242227,2.1060181,9.7997536e-05,10,False
999,1.2410831,13.189476,2.1450071,13.247865,2.0825576,9.0387194e-05,10,False
1000,1.239842,13.198332,2.1388679,13.253478,2.0755935,8.8291188e-05,10,False
1002.5,1.2367501,13.19661,2.0994709,13.25821,2.0564326,0.0001121081,10,False
1005,1.2336736,13.216151,2.0686941,13.271397,2.0315385,9.2593968e-05,10,False
1007.5,1.2306124,13.229966,2.044577,13.283468,2.0104691,8.7203433e-05,10,False
1010,1.2275663,13.233429,2.0229895,13.301587,1.9891974,7.3316857e-05,10,False
1012.5,1.2245353,13.240408,2.0027332,13.312733,1.9609287,8.5048642e-05,10,False
1015,1.2215192,13.249624,1.9836358,13.320981,1.9290194,0.00015623876,10,False
1017.5,1.2185179,13.252067,1.9627637,13.339428,1.9061082,0.00010306578,10,False
1020,1.2155314,13.256967,1.9397699,13.351518,1.8825018,8.5685834e-05,10,False
1022.5,1.2125594,13.264669,1.9148609,13.356773,1.8551209,0.00010272702,10,False
1025,1.2096019,13.271332,1.8894628,13.356157,1.8360422,8.940789e-05,10,False
1027.5,1.2066589,13.276388,1.8653341,13.359292,1.8132422,0.00013574154,10,False
1030,1.2037301,13.276756,1.8407263,13.370801,1.7802935,8.8091207e-05,10,False
1032.5,1.2008155,13.276713,1.8201436,13.378032,1.7575958,9.1405487e-05,10,False
1035,1.197915,13.277399,1.8008778,13.382776,1.7370126,0.00010723325,10,False
1037.5,1.1950284,13.278348,1.7776817,13.379122,1.7054146,9.3018024e-05,10,False
1040,1.1921558,13.276111,1.7548691,13.378945,1.6794293,8.7432401e-05,10,False
1042.5,1.1892969,13.272073,1.732138,13.381748,1.6585093,9.4115214e-05,10,False
1045,1.1864517,13.271147,1.7033357,13.379955,1.6333663,8.6560902e-05,10,False
1047.5,1.18362,13.27155,1.6784811,13.380375,1.6080887,7.900844e-05,10,False
1050,1.1808019,13.273206,1.6594743,13.383257,1.5810631,9.0757438e-05,10,False
1052.5,1.1779971,13.268109,1.6351404,13.382207,1.5531547,7.4171499e-05,10,False
1055,1.1752057,13.2633,1.6112492,13.380711,1.5259857,0.00010271746,10,False
1057.5,1.1724274,13.260804,1.5921387,13.37796,1.4990177,0.00010441335,10,False
1060,1.1696622,13.255242,1.5692993,13.375716,1.4732647,0.0001038553,10,False
1062.5,1.1669101,13.249094,1.5449788,13.374118,1.4479978,0.0001093496,10,False
1065,1.1641709,13.245338,1.5245598,13.370467,1.4234086,8.2502372e-05,10,False
1067.5,1.1614445,13.239514,1.5019713,13.363083,1.3962135,9.169255e-05,10,False
1070,1.1587308,13.232256,1.4773989,13.352817,1.3648024,0.00013409993,10,False
1072.5,1.1560298,13.227607,1.4572949,13.350391,1.3382966,0.00010764707,10,False
1075,1.1533414,13.22155,1.4351251,13.346396,1.3104907,9.3060891e-05,10,False
1077.5,1.1506654,13.212378,1.4098162,13.33837,1.2793388,8.7347575e-05,10,False
1080,1.1480018,13.204898,1.3871568,13.329231,1.2517534,9.2662989e-05,10,False
1082.5,1.1453506,13.197869,1.3641371,13.319314,1.2253117,0.00010871151,10,False
1085,1.1427115,13.189082,1.3397265,13.305001,1.2020217,8.5440802e-05,10,False
1087.5,1.1400846,13.17987,1.3190449,13.293854,1.1744342,8.4725053e-05,10,False
1090,1.1374697,13.169737,1.299319,13.284047,1.1433607,0.00012297918,10,False
1092.5,1.1348668,13.156977,1.2754937,13.265293,1.1127179,8.9339319e-05,10,False
1095,1.1322758,13.14516,1.252279,13.249463,1.0850492,9.2475691e-05,10,False
1097.5,1.1296966,13.133643,1.2298895,13.237236,1.0586581,9.1347602e-05,10,False
1100,1.1271291,13.119584,1.2011714,13.213798,1.0316086,8.0216488e-05,10,False
1102.5,1.1245732,13.105504,1.1748554,13.189689,1.0038707,7.9794912e-05,10,False
1105,1.1220289,13.092405,1.1543045,13.164224,0.97962085,8.7718976e-05,10,False
1107.5,1.1194961,13.074039,1.1295275,13.138409,0.9567569,8.5510737e-05,10,False
1110,1.1169748,13.055321,1.1035083,13.11117,0.93436533,9.3014816e-05,10,False
1112.5,1.1144647,13.038137,1.0803543,13.079286,0.91614453,8.7401332e-05,10,False
1115,1.1119659,13.01234,1.0564975,13.042436,0.89821434,8.7604898e-05,10,False
1117.5,1.1094783,12.981474,1.0316504,13.002123,0.87935182,9.1109643e-05,10,False
1120,1.1070018,12.956182,1.008891,12.964375,0.86584558,8.906773e-05,10,False
1122.5,1.1045363,12.920674,0.98616104,12.918472,0.84919702,8.5437933e-05,10,False
