metric,value,unit,note
records,8,,
Eg_mean,1.10578375,eV,
Eg_std,0.08927080904997728,eV,
splitting_mean,63.5725,meV,
splitting_std,12.259438965548137,meV,
Eg_vs_Bi_slope,-85.21347128378358,meV/%Bi,linear fit
Eg_vs_Bi_intercept,1.4313484051238732,eV,linear fit
delta_vb_change_per_bi_percent,13.052153716216223,meV/%Bi,linear fit
splitting_vs_Bi_slope,13.052153716216223,meV/%Bi,linear fit; alias of delta_vb_change_per_bi_percent
splitting_vs_Bi_intercept,15.164967623873862,meV,linear fit
